分类,编号,模板ID,中文提示词,英文提示词,标签,状态,性能评分
MODERN TECH - 现代科技,12,tech-podcast-guest,仿佛在回答有趣问题时对话中的表情，专业播客设备+隔音板虚化在背景，深色Polo衫或休闲西装外套，暖色视频灯光，真实的媒体从业者,"Expression mid-conversation as if answering an interesting question, professional podcast setup with microphone and acoustic panels blurred behind, dark polo or casual blazer, warm video light, authentic media professional","影棚, 媒体, 对话感, 现代",active,untested
EXECUTIVE - 高管精英,1,exec-corner-office,站在豪华转角办公室，落地窗映出城市天际线，双臂自然垂放身体两侧，威严沉稳的表情，炭灰订制西装带细条纹，窗光逆光加微补光，全身像，C-suite气质,"Standing in a premium corner office with floor-to-ceiling windows showing city skyline, arms relaxed at sides, authoritative calm expression, charcoal bespoke suit with subtle pinstripe, natural window backlight with subtle fill, full-length, C-suite presence","办公室, 高管, 站立, C-suite",active,untested
EXECUTIVE - 高管精英,2,exec-boardroom-head,坐在抛光会议桌的主位，身体微前倾双手交叠桌上，专注犀利的眼神直视镜头，深藏蓝西装搭配气场领带，戏剧性顶光，威严的领导力,"Seated at the head of a polished boardroom table, leaning slightly forward with hands clasped on the table, intense focused gaze directly at camera, dark navy suit with power tie, dramatic overhead lighting, commanding leadership","办公室, 会议室, 坐姿, 强势",active,untested
EXECUTIVE - 高管精英,3,exec-over-the-shoulder,回头看向镜头，戏剧性自信的表情，高层办公室窗景映出黄昏城市天际线，完美剪裁的黑色西装，电影感布光+强轮廓光，杂志级高管肖像,"Over-the-shoulder glance looking back at camera, dramatic confident expression, high-rise office window with twilight cityscape behind, perfectly tailored black suit, cinematic lighting with strong rim light, editorial executive portrait","办公室, 杂志风, 戏剧性, 高管",active,untested
EXECUTIVE - 高管精英,4,exec-leaning-standing,倚靠光滑的高管办公桌，双臂松散交叉，嘴角微扬的自信微笑，订制灰西装带暗纹，温暖的环境灯光+台灯光晕，现代顶层办公室，自信的权威,"Leaning against a sleek executive desk, arms loosely crossed, slight knowing smile, bespoke grey suit with subtle pattern, warm ambient office lighting with desk lamp glow, modern penthouse office, confident authority","办公室, 倚靠, 自信, 奢华",active,untested
EXECUTIVE - 高管精英,5,exec-library,站在木饰面书房/图书室中，一只手搭在皮质座椅上，端庄沉稳的表情，藏蓝西装外套配肘部补丁或经典西装，钨丝灯暖光+壁炉光晕，尊贵的学术型领导者,"Standing in a wood-paneled library or study, one hand resting on a leather chair, dignified composed expression, navy blazer with elbow patches or classic suit, warm tungsten lighting from desk lamp and fireplace glow, distinguished academic leader","图书馆, 学术, 站立, 尊贵",active,untested
EXECUTIVE - 高管精英,6,exec-window-silhouette,面朝落地窗站立看城市景观，剪影效果辅以前方柔光补光展现五官，沉思型领导表情，笔挺西装剪影，戏剧性自然逆光，全身像，有远见的CEO肖像,"Standing facing a floor-to-ceiling window with city view, silhouette with soft front fill revealing facial features, contemplative leadership expression, sharp suit silhouette, dramatic natural backlight, full-length, visionary CEO portrait","办公室, 剪影, 戏剧性, 远见",active,untested
EXECUTIVE - 高管精英,7,exec-handshake,正在握手仿佛在迎接镜头外的人，温暖职业微笑，经典藏蓝西装，虚化背景是现代企业大堂+大理石和玻璃，动态互动瞬间，合作型领导者,"Mid-handshake pose as if greeting someone off-camera, warm professional smile, classic navy suit, modern corporate lobby with marble and glass blurred behind, dynamic engaged moment, partnership-oriented leader","办公室, 动态, 互动, 握手",active,untested
EXECUTIVE - 高管精英,8,exec-thoughtful-window,站在窗前向外沉思，然后转向镜头露出温暖会心的微笑，深色西装，柔光自然日光照亮，半身像，内省型领导者，亲和又不失权威,"Standing by a window looking out thoughtfully, then turning toward camera with a warm knowing smile, dark suit, soft natural daylight, waist-up, reflective leader, approachable yet authoritative","办公室, 沉思, 自然光, 内省",active,untested
EXECUTIVE - 高管精英,9,exec-gala-portrait,正式晚宴活动肖像，自信精致的微笑，燕尾服或正式晚装，优雅的活动场地+水晶吊灯散景+温暖环境光，齐肩肖像，颁奖礼级别，尊贵感,"Black-tie formal event portrait, confident polished smile, tuxedo or formal evening attire, elegant event venue with subtle chandelier bokeh and warm ambient light, shoulders-up, award-ceremony professional, prestige","活动, 正式, 尊贵, 优雅",active,untested
EXECUTIVE - 高管精英,10,exec-speaker-stage,TED式演讲台上，站在简约讲台前或手持无线麦克风（解放双手），演讲中充满激情和学识的表情，商务正装，戏剧性舞台灯光+观众散景，半身像，思想领袖,"On a TED-style conference stage, standing at a minimal podium or hands-free with a wireless mic, passionate knowledgeable expression mid-speech, business formal attire, dramatic stage lighting with audience bokeh, waist-up, thought leader","舞台, 演讲者, 动态, 思想领袖",active,untested
EXECUTIVE - 高管精英,11,exec-modern-monochrome,高反差黑白风格肖像，深邃沉思表情，黑色高领衫，深色无缝背景+戏剧性单灯制造强烈阴影，艺术感高管肖像，永恒经典,"High-contrast black and white style portrait, intense thoughtful expression, black turtleneck, dark seamless background with dramatic single light source creating strong shadows, artistic executive portrait, timeless","影棚, 戏剧性, 黑白, 艺术感",active,untested
EXECUTIVE - 高管精英,12,exec-walking-hallway,在光滑的现代企业走廊中大步前行，行进中被抓拍，自信地看向镜头，笔挺合身西装，背景动态模糊，全身像，行动中的领导者,"Walking purposefully down a sleek modern corporate hallway, caught mid-stride looking confidently at camera, sharp tailored suit, motion blur in background, dynamic powerful presence, full-body, leader in motion","办公室, 行走, 动态, 权力",active,untested
EXECUTIVE - 高管精英,13,exec-private-jet,坐在豪华私人飞机舱内，放松自信的微笑，商务休闲优雅着装，温暖室内灯光，窗外云层可见，成功人士生活方式肖像,"Seated in a luxurious private aviation cabin, relaxed confident smile, smart casual elegant attire, warm interior lighting, window showing clouds, aspirational executive lifestyle portrait","奢华, 旅行, 成功, 坐姿",experimental,untested
CREATIVE - 创意行业,1,creative-gallery,站在当代艺术画廊中，墙上抽象画作虚化，欣赏若有所思的表情，有质感/图案的时尚创意职业装，画廊轨道射灯，半身像，文化思想领袖,"Standing in a contemporary art gallery with abstract paintings blurred on the wall behind, thoughtful appreciative expression, stylish creative professional attire with interesting texture or pattern, gallery track lighting, waist-up, cultural thought leader","画廊, 艺术感, 站立, 文化",active,untested
CREATIVE - 创意行业,2,creative-golden-portrait,杂志级黄金时刻肖像，暖色逆光营造发丝光晕，微侧身回望镜头，迷人表情，中性大地色服装，户外暖色调草地或都市肌理散景，封面级品质,"Editorial golden hour portrait, warm backlight creating hair glow, slight turned pose looking back at camera with magnetic expression, neutral earth-tone outfit, outdoor with warm grass or urban texture bokeh, magazine cover quality","户外, 黄金时刻, 杂志风, 封面",active,untested
CREATIVE - 创意行业,3,creative-moody-shadow,戏剧性明暗对比布光，半张脸隐于阴影半张脸照亮，深沉的艺术家表情，深色创意着装，纯黑无缝背景，纯艺术肖像，大胆的创意总监,"Dramatic chiaroscuro lighting, half face in shadow half illuminated, intense artistic expression, dark creative attire, black seamless background, fine-art portrait, bold creative director","影棚, 戏剧性, 纯艺术, 大胆",active,untested
CREATIVE - 创意行业,4,creative-urban-night,夜间都市肖像，站在现代路灯下，城市灯光+车轨散景在背景，自信神秘的微笑，深色时尚大衣或皮夹克，电影感霓虹色调布光，半身像，创意夜行职场人,"Nighttime urban portrait, standing under a modern street lamp, city lights and traffic trails bokeh behind, confident mysterious expression, dark stylish coat or leather jacket, cinematic neon-tinged lighting, waist-up, creative nocturnal professional","都市, 夜晚, 电影感, 前卫",active,untested
CREATIVE - 创意行业,5,creative-color-pop,大胆彩色肖像，鲜艳纯色背景与服装点缀色相呼应，快乐真挚的表情，创意行业从业者，贝壳式布光+彩色滤色片轮廓光，齐肩肖像，充满活力的个人品牌,"Bold colorful portrait, vibrant solid-color backdrop matching outfit accent, joyful genuine expression, creative industry professional, clamshell lighting with color gel rim light, shoulders-up, energetic personal brand","影棚, 彩色, 活力, 大胆",active,untested
CREATIVE - 创意行业,6,creative-architectural,站在具有几何线条和自然光束的现代建筑空间中，自信沉稳的表情，极简建筑风中性色调服装，半身或全身像，设计行业从业者，空间感,"Standing in a striking modern architectural space with geometric lines and natural light shafts, confident composed expression, architectural minimalist attire in neutral tones, waist-up or full-body, design professional, spatial awareness","建筑, 极简, 设计, 空间",active,untested
CREATIVE - 创意行业,7,creative-morning-light,柔和晨光透过大窗洒入，坐在窗台上手捧咖啡杯，放松真切的晨间微笑，休闲优雅家居服或商务休闲装，生活感真实，温暖迷人,"Soft morning light streaming through a large window, seated on a windowsill with coffee cup, relaxed genuine morning-person smile, casual elegant loungewear or smart casual, lifestyle authentic, warm and inviting","室内, 早晨, 生活感, 真实",active,untested
CREATIVE - 创意行业,8,creative-dappled-shade,户外树冠下，阳光斑驳洒落形成天然光影纹理，放松略带梦幻的表情，浅色天然面料服装，绿色散景背景，半身像，波西米亚风格创意从业者，与自然连接,"Outdoor under a tree canopy with dappled sunlight creating natural patterns on face, relaxed dreamy expression, light natural-fabric outfit, bokeh green background, waist-up, bohemian creative professional, nature-connected","户外, 自然, 梦幻, 波西米亚",active,untested
CREATIVE - 创意行业,9,creative-studio-action,在创意工作室/工坊中，周围是虚化的专业工具（摄影器材、设计材料、美术用品），正在工作中的专注表情，真实工作服，实用灯光，半身像，匠人型创意人士,"In a creative studio or workshop, surrounded by tools of the trade blurred (camera gear, design materials, art supplies), mid-action engaged expression, authentic work attire, practical lighting, waist-up, maker creative professional","影棚, 工坊, 工作中, 匠人",active,untested
CREATIVE - 创意行业,10,creative-rain-window,在雨痕斑驳的窗户后面，沉思忧郁的表情，温暖室内灯光与窗外冷色调形成对比，舒适的针织衫可见，电影感氛围肖像，内省的创意人，情感深度,"Behind a rain-streaked window, contemplative moody expression, warm interior lighting contrasting with cool exterior, cozy knitwear visible, cinematic atmospheric portrait, introspective creative, emotional depth","室内, 雨天, 氛围感, 内省",active,untested
CREATIVE - 创意行业,11,creative-bookstore,在迷人的独立书店中浏览，从书中抬起头露出温暖惊喜的微笑，知性舒适的着装，温暖书店灯光+书架虚化，有文化品味的创意从业者,"Browsing in a charming independent bookstore, looking up from a book with a warm surprised smile, cozy intellectual attire, warm ambient bookstore lighting with shelves blurred, cultured creative professional","室内, 书店, 温暖, 有品味",active,untested
CREATIVE - 创意行业,12,creative-mirror-reflection,现代镜子或玻璃表面的倒影拍摄，创意构图，自信且自知的微笑，时尚当代服装，有趣的室内空间倒映，杂志级艺术肖像，独特视角,"Reflection shot in a modern mirror or glass surface, creative composition, confident self-aware expression, stylish contemporary outfit, interesting interior space reflected, editorial artistic portrait, unique perspective","室内, 倒影, 杂志风, 实验性",experimental,untested
CREATIVE - 创意行业,13,creative-aerial-drone,从低角度或无人机视角仰望镜头，自信微笑，有趣的都市屋顶或开阔广场背景+几何图案，动态视角，现代创意从业者，视觉冲击力强,"Looking up toward camera from a lower angle or drone perspective, confident smile, interesting urban rooftop or open plaza background with geometric patterns, dynamic perspective, modern creative professional, visually striking","户外, 无人机, 动态, 实验性",experimental,untested
CREATIVE - 创意行业,14,creative-vinyl-lounge,在时尚中世纪现代风格休息室中，旁边有黑胶唱片或设计书籍，放松有品味的表情，复古现代商务休闲装，温暖模拟灯光，音乐创意或设计行业从业者，高品味美学,"In a stylish mid-century modern lounge with vinyl records or design books nearby, relaxed cultured expression, retro-modern smart casual attire, warm analog lighting, music creative or design professional, tasteful aesthetic","室内, 复古, 有品味, 时尚",active,untested
OUTDOOR NATURAL - 户外自然,1,outdoor-park-bench,坐在现代公园长椅上，四周是柔和的绿色植物散景，温暖真挚微笑，商务休闲西装外套配卡其裤，傍晚黄金时刻阳光透过树叶洒落，半身像，亲和真实的职场人,"Seated on a modern park bench, surrounded by soft green foliage bokeh, warm genuine smile, smart casual blazer with chinos, late afternoon golden sunlight filtering through trees, waist-up, approachable authentic professional","户外, 公园, 坐姿, 亲和",active,untested
OUTDOOR NATURAL - 户外自然,2,outdoor-city-steps,坐在市中心广场的现代建筑台阶上，自信放松的姿态，商务休闲着装，明亮阴天提供完美漫射光，半身像，都市职场人，市政厅或商务区氛围,"Seated on modern urban architecture steps in a downtown plaza, confident relaxed posture, business casual attire, bright overcast sky providing perfect diffused light, waist-up, urban professional, city hall or corporate district vibe","户外, 都市, 坐姿, 企业",active,untested
OUTDOOR NATURAL - 户外自然,3,outdoor-campus-walk,在大学校园林荫小道上行走，看向镜头露出知性微笑，粗花呢西装外套或学术休闲装，柔和晨光，全身行走照，教授或学术管理者,"Walking along a tree-lined university campus path, looking at camera with intellectual smile, tweed blazer or academic casual attire, soft morning light, full-body walking shot, professor or academic administrator","户外, 校园, 行走, 学术",active,untested
OUTDOOR NATURAL - 户外自然,4,outdoor-beach-casual,黄金时刻海滩场景，放松真实的欢笑，商务休闲亚麻衬衫，海洋地平线散景+温暖日落色调，齐肩肖像，生活型创业者，滨海职场人，真切的快乐,"Beach setting at golden hour, relaxed genuine laughter, smart casual linen shirt, ocean horizon bokeh behind with warm sunset tones, shoulders-up, lifestyle entrepreneur, coastal professional, authentic joy","户外, 海滩, 黄金时刻, 生活方式",active,untested
OUTDOOR NATURAL - 户外自然,5,outdoor-market-stroll,在高端户外集市或商圈漫步，行经间看向镜头露出自然微笑，时尚休闲着装，午后自然光，生活感真实，都市国际化职场人,"Walking through an upscale outdoor market or shopping district, caught mid-stride looking at camera with natural smile, stylish casual attire, afternoon natural light, lifestyle authentic, cosmopolitan professional","户外, 集市, 行走, 国际化",active,untested
OUTDOOR NATURAL - 户外自然,6,outdoor-mountain-view,站在观景点俯瞰山峦，微风吹动头发，自信安详的表情，户外修身夹克，壮丽的自然景观散景在身后，明亮的白日光，有冒险精神的领导者,"Standing on a viewpoint overlooking mountains or hills, fresh air wind slightly moving hair, confident serene expression, outdoor smart jacket, dramatic natural landscape bokeh behind, crisp clear daylight, adventurous leader","户外, 山景, 站立, 冒险",active,untested
OUTDOOR NATURAL - 户外自然,7,outdoor-riverside,倚靠在河畔栏杆上，背后是水面和城市倒影，放松沉思的表情，商务休闲深色夹克，柔和午后光线，半身像，内省的都市职场人，宁静时刻,"Leaning on a riverside railing with water and city reflection behind, relaxed reflective expression, smart casual dark jacket, soft afternoon light, waist-up, thoughtful urban professional, serene moment","户外, 水景, 沉思, 宁静",active,untested
OUTDOOR NATURAL - 户外自然,8,outdoor-garden-party,在高端花园派对/社交酒会上，手持酒杯，交谈中的投入表情，优雅商务休闲或酒会着装，绿植和串灯散景，半身像，社交型职场人，温暖傍晚光线,"At an upscale garden party or networking event, holding a glass, mid-conversation engaged expression, elegant smart casual or cocktail attire, greenery and string lights bokeh, waist-up, social professional, warm evening light","户外, 活动, 社交, 优雅",active,untested
OUTDOOR NATURAL - 户外自然,9,outdoor-autumn-leaves,站在秋叶之中，暖色调橙金叶片虚化，舒适精致的针织衫或轻薄外套，真挚温暖的微笑，秋日午后清新光线，半身像，季节感温暖，真实的职场人,"Standing among autumn foliage with warm orange and gold leaves blurred, cozy sophisticated sweater or light coat, genuine warm smile, crisp autumn afternoon light, waist-up, seasonal warmth, authentic professional","户外, 秋季, 季节感, 温暖",active,untested
OUTDOOR NATURAL - 户外自然,10,outdoor-bridge-crossing,在现代人行桥上行走，城市天际线在身后，步伐坚定，自信表情，商务着装+长款大衣，动态动感，全身像，大都市职场人，前进的动力,"Walking across a modern pedestrian bridge with city skyline behind, purposeful stride, confident expression, business attire with long coat, dynamic movement, full-body, metropolitan professional, forward momentum","户外, 桥梁, 行走, 大都市",active,untested
OUTDOOR NATURAL - 户外自然,11,outdoor-courtyard,站在宁静的内院或中庭，现代建筑+绿植环绕，平静沉稳的表情，精致休闲着装，上方结构过滤的柔和自然顶光，全身像，绿洲中的职场人,"Standing in a serene internal courtyard or atrium with modern architecture and plants, calm centered expression, sophisticated casual attire, soft overhead natural light filtered through structure, full-length, oasis professional","户外, 庭院, 平静, 建筑",active,untested
OUTDOOR NATURAL - 户外自然,12,outdoor-harbor,码头/游艇俱乐部背景，帆船隐约虚化，自信放松地倚靠木质栏杆，航海风商务休闲+藏蓝西装外套，明亮海洋光线，半身像，滨海都市职场人,"Harbor or marina background with boats softly blurred, confident relaxed posture leaning on a wooden railing, nautical-inspired smart casual with navy blazer, bright sea-light, waist-up, maritime city professional","户外, 码头, 航海风, 放松",active,untested
OUTDOOR NATURAL - 户外自然,13,outdoor-snow-crisp,清爽冬日，柔和的雪景背景，温暖精致的大衣和围巾，冷空气中可见哈气，阳光坚韧的微笑，明亮阴天冬日光线营造柔和均匀照明，齐肩肖像，北方职场人,"Crisp winter day with soft snow-covered background, warm sophisticated coat and scarf, breath visible in cold air, joyful resilient expression, bright overcast winter light creating soft even illumination, shoulders-up, northern professional","户外, 冬季, 季节感, 坚韧",experimental,untested
